Call Sign,Active PI Code,Frequency,Facility ID,City of License,State,Location,Date Allocated,Edit
KRLG-LP,3E08,107.9,131686,KREMMLING,CO,"40° 3' 40.90"" N 106° 24' 4.10"" W",10/31/2018,Report Change
KQMT,3B8B,99.5,26929,DENVER,CO,"39° 43' 43.90"" N 105° 14' 9.90"" W",8/11/2018,Report Change
WJRQ-LP,6E36,99.9,192905,POINCIANA,FL,"28° 6' 48.10"" N 81° 28' 37.30"" W",10/31/2018,Report Change
KJIH,289B,89.9,171769,MANHATTAN,KS,"39° 20' 27.00"" N 96° 31' 7.00"" W",11/14/2018,Report Change
KNDE,32A6,95.1,7631,COLLEGE STATION,TX,"30° 41' 15.70"" N 96° 25' 32.90"" W",8/11/2018,Report Change
KTJT-LP,4329,103.1,133437,DAVENPORT,IA,"41° 32' 16.10"" N 90° 37' 56.40"" W",10/31/2018,Report Change
WGBG-FM,64A0,107.7,4107,FRUITLAND,MD,"38° 23' 0.40"" N 75° 24' 51.70"" W",8/11/2018,Report Change
KFFA-FM,1DB6,103.1,16518,HELENA,AR,"34° 31' 39.30"" N 90° 37' 46.30"" W",8/11/2018,Report Change
WZFI-LP,9736,98.5,133208,BRIDGETON,NJ,"39° 25' 30.40"" N 75° 15' 14.70"" W",10/31/2018,Report Change
KCSN,1729,88.5,62949,NORTHRIDGE,CA,"34° 19' 10.00"" N 118° 33' 18.30"" W",11/14/2018,Report Change
KOGD-LP,3597,107.1,194649,SHAWNEE,OK,"35° 22' 3.20"" N 96° 57' 15.00"" W",10/31/2018,Report Change
KSWG,41CA,96.3,11216,WICKENBURG,AZ,"33° 55' 22.10"" N 112° 47' 36.60"" W",8/11/2018,Report Change
KKUP,2C7F,91.5,3050,CUPERTINO,CA,"37° 6' 39.80"" N 121° 50' 39.80"" W",11/14/2018,Report Change
WFRY-FM,63AE,97.5,71094,WATERTOWN,NY,"43° 57' 23.20"" N 75° 50' 43.70"" W",8/11/2018,Report Change
WMIY-LP,7540,93.1,197435,BATON ROUGE,LA,"30° 22' 34.60"" N 91° 9' 30.30"" W",10/31/2018,Report Change
KOGL,359F,89.3,91095,GLENEDEN BEACH,OR,"44° 53' 3.40"" N 124° 0' 59.40"" W",11/14/2018,Report Change
KJUG-FM,29D2,106.7,71714,TULARE,CA,"36° 14' 31.70"" N 118° 52' 26.50"" W",8/11/2018,Report Change
KCVK,1774,107.7,83870,OTTERVILLE,MO,"38° 40' 26.10"" N 92° 51' 44.70"" W",11/14/2018,Report Change
WPLN-FM,7D6F,90.3,53821,NASHVILLE,TN,"36° 2' 8.20"" N 86° 50' 55.00"" W",11/14/2018,Report Change
WAPJ,5637,89.9,66472,TORRINGTON,CT,"41° 48' 9.40"" N 73° 9' 48.20"" W",11/14/2018,Report Change
WGCS,64C6,91.1,24663,GOSHEN,IN,"41° 33' 29.20"" N 85° 51' 6.00"" W",11/14/2018,Report Change
WODA-FM1,79EE,94.7,171639,CEIBA,PR,"18° 16' 52.00"" N 65° 40' 9.00"" W",8/11/2018,Report Change
KYUK-FM,5172,90.3,172683,BETHEL,AK,"60° 47' 30.30"" N 161° 46' 30.30"" W",11/14/2018,Report Change
KTJC,4318,91.1,92487,KELSO,WA,"46° 19' 45.30"" N 122° 57' 54.40"" W",11/14/2018,Report Change
KTYG-LP,44A2,106.7,196632,CENTRALIA,WA,"46° 44' 23.30"" N 122° 59' 23.30"" W",10/31/2018,Report Change
WXYX,93EB,100.7,54447,BAYAMON,PR,"18° 17' 14.40"" N 66° 10' 48.30"" W",8/11/2018,Report Change
KSCU,3FD0,103.3,59061,SANTA CLARA,CA,"37° 20' 49.80"" N 121° 56' 24.80"" W",11/14/2018,Report Change
WWAG,8EC6,107.9,15508,MCKEE,KY,"37° 23' 39.30"" N 83° 54' 26.70"" W",8/11/2018,Report Change
KFHL,1DF5,91.7,89679,WASCO,CA,"35° 24' 54.90"" N 119° 14' 4.40"" W",11/14/2018,Report Change
KNNA-LP,33A6,95.7,195172,LINCOLN,NE,"40° 45' 28.00"" N 96° 39' 51.10"" W",10/31/2018,Report Change
WHQR,68D5,91.3,22656,WILMINGTON,NC,"34° 7' 53.60"" N 78° 11' 16.00"" W",11/14/2018,Report Change
WDOD-FM,5E03,96.5,71351,CHATTANOOGA,TN,"35° 9' 41.30"" N 85° 19' 4.90"" W",8/11/2018,Report Change
WHEB,178D,100.3,35219,PORTSMOUTH,NH,"43° 3' 11.30"" N 70° 46' 2.10"" W",5/3/2020,Report Change
KNLV-FM,3387,103.9,35246,ORD,NE,"41° 54' 6.90"" N 99° 6' 12.40"" W",8/11/2018,Report Change
WQXR-FM,814F,105.9,46978,NEWARK,NJ,"40° 44' 54.40"" N 73° 59' 8.50"" W",8/11/2018,Report Change
WYKY,9524,106.1,170490,SCIENCE HILL,KY,"37° 7' 53.20"" N 84° 32' 20.70"" W",8/11/2018,Report Change
WCLP-LP,5B1D,98.3,192810,LAKE PLACID,NY,"44° 17' 31.10"" N 73° 59' 14.50"" W",10/31/2018,Report Change
KTUP,4443,98.3,184143,DALLAS,OR,"44° 51' 17.40"" N 123° 7' 19.30"" W",8/21/2019,Report Change
KHYL,14F7,101.1,10144,AUBURN,CA,"38° 51' 27.60"" N 121° 1' 42.70"" W",5/3/2020,Report Change
WHAJ,672D,104.5,504,BLUEFIELD,WV,"37° 15' 5.40"" N 81° 11' 19.30"" W",8/11/2018,Report Change
KAJX,1101,91.5,3009,ASPEN,CO,"39° 11' 47.90"" N 106° 48' 16.10"" W",11/14/2018,Report Change
WGNH,65D9,94.9,61177,SOUTH WEBSTER,OH,"38° 42' 30.30"" N 82° 40' 14.60"" W",11/14/2018,Report Change
KBXX,1511,97.9,11969,HOUSTON,TX,"29° 34' 34.80"" N 95° 30' 36.70"" W",8/11/2018,Report Change
KMKR-LP,A3C5,99.9,197567,TUCSON,AZ,"32° 13' 38.60"" N 110° 58' 25.40"" W",10/31/2018,Report Change
WARY,567A,88.1,71709,VALHALLA,NY,"41° 4' 13.30"" N 73° 47' 23.40"" W",11/14/2018,Report Change
KPRB,3957,106.3,81409,BRUSH,CO,"40° 13' 1.90"" N 103° 41' 47.90"" W",8/11/2018,Report Change
KMXP,1215,96.9,6361,PHOENIX,AZ,"33° 20' 3.10"" N 112° 3' 38.50"" W",5/3/2020,Report Change
KPLK,38C4,88.9,173038,SEDRO-WOOLLEY,WA,"48° 32' 29.40"" N 122° 17' 47.60"" W",11/14/2018,Report Change
WVDP-LP,8C79,102.9,192162,TEMPLETON,MA,"42° 36' 11.80"" N 72° 5' 59.60"" W",10/31/2018,Report Change
WRIP-FM1,826B,97.9,136793,HUNTER,NY,"42° 12' 4.30"" N 74° 13' 43.50"" W",8/11/2018,Report Change
WODB-LP,79EF,90.9,194728,CAGUAS,PR,"18° 14' 0.80"" N 66° 2' 10.50"" W",10/31/2018,Report Change
WVOF,8D8D,88.5,20456,FAIRFIELD,CT,"41° 9' 32.30"" N 73° 15' 33.40"" W",11/14/2018,Report Change
WKVR-FM,7143,92.3,32952,HUNTINGDON,PA,"40° 30' 0.20"" N 78° 0' 51.00"" W",11/14/2018,Report Change
KINZ,268B,95.3,87299,HUMBOLDT,KS,"37° 44' 52.20"" N 95° 33' 39.90"" W",8/11/2018,Report Change
KOKU,3610,100.3,25516,HAGATNA,GU,"13° 29' 17.00"" N 144° 49' 35.00"" E",8/11/2018,Report Change
WYXL,9669,97.3,18051,ITHACA,NY,"42° 27' 54.30"" N 76° 22' 21.80"" W",8/11/2018,Report Change
KKWK,2CAE,100.1,50745,CAMERON,MO,"39° 57' 28.00"" N 94° 6' 55.80"" W",8/11/2018,Report Change
KCSP-FM,172B,90.3,71810,CASPER,WY,"42° 44' 23.90"" N 106° 18' 25.10"" W",11/14/2018,Report Change
KCBP,1571,95.5,184977,WESTLEY,CA,"37° 26' 57.80"" N 121° 11' 17.80"" W",11/14/2018,Report Change
KKBI,2A8A,106.1,8782,BROKEN BOW,OK,"34° 14' 45.30"" N 94° 46' 58.70"" W",8/11/2018,Report Change
WMCZ-LP,74A5,94.5,196652,CAMILLA,GA,"31° 14' 38.60"" N 84° 14' 22.60"" W",10/31/2018,Report Change
WIOZ-FM,6B4D,102.5,25204,SOUTHERN PINES,NC,"35° 9' 4.60"" N 79° 28' 39.10"" W",8/11/2018,Report Change
WQLX,A81D,106.5,65701,CHILLICOTHE,OH,"39° 19' 52.20"" N 82° 59' 48.60"" W",8/11/2018,Report Change
WLFV,724B,98.9,54872,MIDLOTHIAN,VA,"37° 36' 52.50"" N 77° 30' 55.00"" W",8/11/2018,Report Change
KNCA,3288,89.7,50621,BURNEY,CA,"40° 54' 20.50"" N 121° 49' 41.90"" W",11/14/2018,Report Change
WKYQ,7190,93.3,6877,PADUCAH,KY,"37° 2' 56.20"" N 88° 36' 52.20"" W",8/11/2018,Report Change
KWJD-LP,4B05,92.1,135319,ONALASKA,WA,"46° 35' 36.30"" N 122° 36' 50.40"" W",10/31/2018,Report Change
KNUN,3469,91.9,201845,TOKSOOK BAY,AK,"60° 31' 59.10"" N 165° 6' 32.20"" W",11/14/2018,Report Change
KAOR,117D,91.1,66605,VERMILLION,SD,"42° 47' 0.90"" N 96° 55' 27.10"" W",11/14/2018,Report Change
KHKV,2395,91.1,83433,KERRVILLE,TX,"30° 2' 37.70"" N 99° 7' 18.10"" W",11/14/2018,Report Change
WRLE-LP,82AE,94.9,133335,DUNNELLON,FL,"29° 8' 58.90"" N 82° 30' 24.30"" W",10/31/2018,Report Change
WXBN,918B,105.5,60363,BERRYVILLE,VA,"39° 7' 3.40"" N 77° 58' 20.00"" W",8/11/2018,Report Change
KBKB-FM,13A9,101.7,64564,FORT MADISON,IA,"40° 43' 25.10"" N 91° 13' 49.50"" W",8/11/2018,Report Change
WVKC,8D22,90.7,35258,GALESBURG,IL,"40° 56' 46.10"" N 90° 22' 11.40"" W",11/14/2018,Report Change
WKPX,A7AD,88.5,66342,SUNRISE,FL,"26° 10' 39.30"" N 80° 15' 22.10"" W",11/14/2018,Report Change
WLMW,7302,90.7,35251,MANCHESTER,NH,"42° 58' 59.30"" N 71° 35' 23.20"" W",11/14/2018,Report Change
WCDV-LP,5A53,89.3,196236,LYNN,MA,"42° 28' 2.30"" N 70° 56' 36.10"" W",10/31/2018,Report Change
KKOS-LP,2BE6,106.7,191687,MCPHERSON,KS,"38° 22' 32.00"" N 97° 36' 6.20"" W",10/31/2018,Report Change
WPEN,7CB9,97.5,47427,BURLINGTON,NJ,"40° 4' 57.40"" N 75° 10' 51.60"" W",8/11/2018,Report Change
KXMX,4E0B,105.1,189538,MULDROW,OK,"35° 30' 49.40"" N 94° 35' 18.80"" W",8/11/2018,Report Change
KJMS,190E,101.1,35874,OLIVE BRANCH,MS,"35° 13' 22.30"" N 90° 2' 36.30"" W",5/3/2020,Report Change
WVME,8D58,91.9,88021,MEADVILLE,PA,"41° 37' 50.20"" N 80° 10' 37.20"" W",11/14/2018,Report Change
KMGS,A35E,89.5,189897,ANVIK,AK,"62° 38' 55.40"" N 160° 11' 42.60"" W",11/14/2018,Report Change
WNCO-FM,773E,101.3,2925,ASHLAND,OH,"40° 50' 25.20"" N 82° 21' 25.60"" W",8/11/2018,Report Change
KIBE,253E,104.9,190410,BROKEN BOW,OK,"34° 2' 1.40"" N 94° 44' 35.80"" W",8/11/2018,Report Change
KVXO,49D8,88.3,84102,FORT COLLINS,CO,"40° 36' 59.90"" N 105° 19' 37.90"" W",12/3/2018,Report Change
KKDL,2AC1,93.7,170977,DILLEY,TX,"28° 38' 53.90"" N 99° 10' 51.10"" W",8/11/2018,Report Change
KVLD,4895,91.7,174372,NORFOLK,NE,"42° 1' 56.00"" N 97° 22' 8.20"" W",11/14/2018,Report Change
WMEZ,74D9,94.1,73256,PENSACOLA,FL,"30° 36' 40.70"" N 87° 36' 25.90"" W",8/11/2018,Report Change
WLSR,7399,92.7,49514,GALESBURG,IL,"40° 56' 34.10"" N 90° 20' 39.50"" W",8/11/2018,Report Change
WLVH,73DD,101.1,31094,HARDEEVILLE,SC,"32° 5' 47.40"" N 81° 19' 9.10"" W",8/11/2018,Report Change
KSYM-FM,4204,90.1,58788,SAN ANTONIO,TX,"29° 26' 50.80"" N 98° 29' 56.00"" W",11/14/2018,Report Change
WYFR-LP,949B,89.9,195156,FAIRHOPE,AL,"30° 33' 35.20"" N 87° 53' 32.70"" W",10/31/2018,Report Change
KICR,2565,102.3,76431,COEUR D'ALENE,ID,"47° 39' 34.60"" N 116° 57' 15.60"" W",8/11/2018,Report Change
WULF,8A9B,94.3,25799,HARDINSBURG,KY,"37° 52' 18.20"" N 86° 16' 3.90"" W",8/11/2018,Report Change
WWWW-FM,9112,102.9,41080,ANN ARBOR,MI,"42° 14' 46.10"" N 83° 50' 57.80"" W",8/11/2018,Report Change
KYSX,514B,105.1,76918,BILLINGS,MT,"45° 45' 53.80"" N 108° 27' 22.40"" W",8/11/2018,Report Change
WBDL,57A5,102.9,59232,REEDSBURG,WI,"43° 35' 31.90"" N 90° 0' 42.50"" W",8/11/2018,Report Change
WWEB,8F29,89.9,10861,WALLINGFORD,CT,"41° 27' 34.30"" N 72° 48' 46.30"" W",11/14/2018,Report Change
WREN-LP,8201,97.9,194996,CHARLOTTESVILLE,VA,"38° 4' 39.50"" N 78° 28' 20.00"" W",10/31/2018,Report Change
KIOC,168E,106.1,33060,ORANGE,TX,"30° 9' 20.80"" N 93° 59' 10.60"" W",5/3/2020,Report Change
KMDS,A310,107.1,190438,LAS VEGAS,NM,"35° 34' 48.10"" N 105° 13' 1.00"" W",8/11/2018,Report Change
KNBX,3285,91.7,51720,SAN ARDO,CA,"35° 57' 4.20"" N 121° 0' 6.20"" W",11/14/2018,Report Change
WRCJ-FM,81C9,90.9,6056,DETROIT,MI,"42° 26' 53.10"" N 83° 10' 22.70"" W",11/14/2018,Report Change
KSJN,A47F,99.5,42911,MINNEAPOLIS,MN,"45° 3' 29.90"" N 93° 7' 27.80"" W",8/11/2018,Report Change
WXEF,91D1,97.9,53399,EFFINGHAM,IL,"39° 7' 25.10"" N 88° 38' 28.10"" W",8/11/2018,Report Change
WFPM-LP,636E,99.5,125881,BATTLE CREEK,MI,"42° 18' 32.10"" N 85° 10' 16.90"" W",10/31/2018,Report Change
WYWH-LP,964B,104.5,132289,ATHENS,OH,"39° 19' 59.20"" N 82° 5' 19.50"" W",10/31/2018,Report Change
WURC,8B34,88.1,58271,HOLLY SPRINGS,MS,"34° 46' 53.30"" N 89° 26' 49.30"" W",11/14/2018,Report Change
WHFG,67AC,91.3,83878,BROUSSARD,LA,"29° 58' 4.70"" N 91° 55' 31.40"" W",11/14/2018,Report Change
WFSL,63BB,90.7,93708,THOMASVILLE,GA,"30° 50' 12.60"" N 83° 58' 56.60"" W",11/14/2018,Report Change
WKNO-FM,A770,91.1,41887,MEMPHIS,TN,"35° 9' 14.30"" N 89° 49' 19.30"" W",11/14/2018,Report Change
WKQL,A7BB,103.3,81912,BROOKVILLE,PA,"41° 4' 4.20"" N 79° 4' 58.10"" W",8/11/2018,Report Change
WCEZ,5A71,93.9,79019,CARTHAGE,IL,"40° 24' 54.20"" N 91° 15' 11.50"" W",8/11/2018,Report Change
WKDQ,6F6E,99.5,6871,HENDERSON,KY,"37° 52' 57.20"" N 87° 32' 28.00"" W",8/11/2018,Report Change
WLKR-FM,72C9,95.3,21486,NORWALK,OH,"41° 16' 49.20"" N 82° 39' 26.60"" W",8/11/2018,Report Change
KPHF,3857,88.3,20879,PHOENIX,AZ,"33° 35' 47.10"" N 112° 5' 33.50"" W",11/14/2018,Report Change
KTBX,425D,98.1,171024,TUBAC,AZ,"31° 42' 17.30"" N 110° 55' 27.30"" W",8/11/2018,Report Change
WCFT-FM,5A85,106.5,39605,BLOOMSBURG,PA,"40° 56' 18.30"" N 76° 25' 36.80"" W",8/11/2018,Report Change
WGTS,6680,91.9,12460,TAKOMA PARK,MD,"38° 53' 30.40"" N 77° 7' 53.90"" W",11/14/2018,Report Change
WVSR-FM,8E01,102.7,2684,CHARLESTON,WV,"38° 21' 26.30"" N 81° 40' 4.50"" W",8/11/2018,Report Change
WWFM,8F4E,89.1,41194,TRENTON,NJ,"40° 15' 30.40"" N 74° 38' 57.60"" W",11/14/2018,Report Change
WXLS,9294,88.3,175082,TUPPER LAKE,NY,"44° 9' 34.20"" N 74° 28' 32.60"" W",11/14/2018,Report Change
WBBC-FM,5768,93.5,16583,BLACKSTONE,VA,"37° 3' 14.50"" N 78° 1' 14.00"" W",8/11/2018,Report Change
WFFM,626A,105.7,72056,ASHBURN,GA,"31° 41' 17.60"" N 83° 38' 37.60"" W",8/11/2018,Report Change
WBKG,5856,88.9,76358,MACON,GA,"32° 45' 51.50"" N 83° 33' 31.70"" W",11/14/2018,Report Change
KLFX,1DA5,107.3,60090,NOLANVILLE,TX,"31° 5' 38.60"" N 97° 34' 52.00"" W",5/3/2020,Report Change
KHCT,22C3,90.9,28157,GREAT BEND,KS,"38° 37' 4.00"" N 98° 56' 33.30"" W",11/14/2018,Report Change
WJOP-LP,6DE7,96.3,191764,NEWBURYPORT,MA,"42° 48' 45.20"" N 70° 53' 10.40"" W",10/31/2018,Report Change
KWFL,4AA5,99.3,57715,ROSWELL,NM,"33° 21' 47.40"" N 104° 38' 12.90"" W",11/14/2018,Report Change
KHGN,2325,106.7,199,HUGOTON,KS,"37° 18' 57.10"" N 101° 20' 17.60"" W",8/21/2019,Report Change
KKSY-FM,2C54,96.5,73594,CEDAR RAPIDS,IA,"42° 1' 40.00"" N 91° 38' 25.60"" W",8/11/2018,Report Change
KISD,26F7,98.7,70738,PIPESTONE,MN,"43° 53' 51.90"" N 95° 56' 51.10"" W",8/11/2018,Report Change
KELR-LP,1BBF,104.7,194202,STOCKTON,CA,"37° 57' 55.30"" N 121° 17' 49.10"" W",10/31/2018,Report Change
KPPP-LP,3931,88.1,193229,FARGO,ND,"46° 52' 27.90"" N 96° 47' 4.30"" W",10/31/2018,Report Change
WJTA,6E5A,88.9,175969,GLANDORF,OH,"41° 5' 36.20"" N 84° 1' 29.80"" W",11/14/2018,Report Change
WCMP-FM,5B37,100.9,52621,PINE CITY,MN,"45° 54' 9.80"" N 92° 57' 33.70"" W",8/11/2018,Report Change
WJTF,6E5F,89.9,32370,PANAMA CITY,FL,"30° 19' 41.60"" N 85° 41' 21.80"" W",11/14/2018,Report Change
KXLC,4DDC,91.1,42918,LA CRESCENT,MN,"43° 48' 16.00"" N 91° 22' 19.80"" W",11/14/2018,Report Change
KDDX,1851,101.1,17689,SPEARFISH,SD,"44° 19' 34.90"" N 103° 50' 7.70"" W",8/11/2018,Report Change
WRBH,81AD,88.3,54575,NEW ORLEANS,LA,"29° 56' 59.70"" N 89° 57' 28.20"" W",11/14/2018,Report Change
WLJY,72B6,105.5,85832,NEKOOSA,WI,"44° 21' 44.90"" N 90° 3' 58.50"" W",8/11/2018,Report Change
KITY,2726,102.9,87998,LLANO,TX,"30° 40' 37.60"" N 98° 34' 0.10"" W",8/11/2018,Report Change
KHCB-FM,22B1,105.7,27702,HOUSTON,TX,"29° 34' 6.80"" N 95° 29' 57.70"" W",11/14/2018,Report Change
KENZ-FM2,1BFB,94.9,162065,TOOELE,UT,"40° 37' 39.70"" N 112° 34' 1.80"" W",8/11/2018,Report Change
WLTW,13B8,106.7,56571,NEW YORK,NY,"40° 44' 54.30"" N 73° 59' 8.50"" W",5/3/2020,Report Change
WVXU,8E86,91.7,74302,CINCINNATI,OH,"39° 7' 31.20"" N 84° 29' 56.80"" W",11/14/2018,Report Change
WRWK-LP,83D2,93.9,197068,MIDLOTHIAN,VA,"37° 30' 14.90"" N 77° 36' 50.80"" W",10/31/2018,Report Change
KRRV-FM,3EB3,100.3,33768,ALEXANDRIA,LA,"31° 1' 59.70"" N 92° 30' 8.50"" W",8/11/2018,Report Change
KTAH-LP,4233,101.9,194570,TACOMA,WA,"47° 13' 17.30"" N 122° 28' 11.40"" W",10/31/2018,Report Change
KWEY-FM,4A98,95.5,12048,CLINTON,OK,"35° 26' 43.20"" N 98° 59' 20.30"" W",8/11/2018,Report Change
WBDB-LP,579B,103.3,193889,RICHMOND,VA,"37° 37' 1.50"" N 77° 29' 33.90"" W",10/31/2018,Report Change
WWKN,8FD1,99.1,170956,MORGANTOWN,KY,"37° 13' 38.10"" N 86° 41' 53.90"" W",8/11/2018,Report Change
KYRT,512D,97.9,165378,HUNT,TX,"30° 8' 51.70"" N 99° 13' 15.20"" W",11/14/2018,Report Change
WMBZ,748B,92.5,71542,WEST BEND,WI,"43° 25' 45.90"" N 88° 18' 2.30"" W",8/11/2018,Report Change
KFNV-FM,1E9B,107.1,67289,FERRIDAY,LA,"31° 36' 8.50"" N 91° 32' 27.40"" W",8/11/2018,Report Change
WLRX,7385,106.1,41635,VINTON,VA,"37° 17' 3.50"" N 79° 59' 13.10"" W",8/11/2018,Report Change
WGLN-LP,65AB,93.5,127139,CEDAR LAKE,MI,"43° 24' 4.10"" N 84° 58' 34.00"" W",10/31/2018,Report Change
KPLN,38C7,106.7,164108,LOCKWOOD,MT,"45° 45' 53.80"" N 108° 27' 21.50"" W",8/11/2018,Report Change
KGHT,A2A1,100.5,162386,EL JEBEL,CO,"39° 18' 55.90"" N 106° 57' 34.20"" W",8/11/2018,Report Change
KVOB,48E1,95.5,3483,LINDSBORG,KS,"38° 40' 0.00"" N 97° 41' 31.10"" W",8/11/2018,Report Change
WIOM-LP,6B40,101.7,192781,SPRINGFIELD,MA,"42° 9' 41.20"" N 72° 30' 14.00"" W",10/31/2018,Report Change
WBUR-FM,5965,90.9,68241,BOSTON,MA,"42° 18' 37.00"" N 71° 14' 12.00"" W",11/14/2018,Report Change
KXEA,4D24,104.9,170999,LOWRY CITY,MO,"38° 9' 8.10"" N 93° 39' 43.80"" W",8/11/2018,Report Change
WWDL,8F19,91.3,91476,PLAINFIELD,IN,"39° 40' 18.20"" N 86° 21' 30.00"" W",11/14/2018,Report Change
WPGL,7CEB,90.7,60890,PATTERSONVILLE,NY,"42° 51' 0.20"" N 74° 3' 56.40"" W",11/14/2018,Report Change
WAZO,5740,107.5,59480,SOUTHPORT,NC,"34° 14' 37.60"" N 78° 7' 23.00"" W",8/11/2018,Report Change
WZOM,9824,105.7,40711,DEFIANCE,OH,"41° 13' 23.20"" N 84° 22' 35.80"" W",8/11/2018,Report Change
WXXX,93D1,95.5,29920,SOUTH BURLINGTON,VT,"44° 30' 34.10"" N 73° 10' 57.40"" W",8/11/2018,Report Change
KMFX-FM,A349,102.5,54635,LAKE CITY,MN,"44° 16' 44.80"" N 92° 23' 38.60"" W",8/11/2018,Report Change
WNYE,7970,91.5,3539,NEW YORK,NY,"40° 45' 22.40"" N 73° 59' 10.50"" W",11/14/2018,Report Change
KMZE,323E,92.3,21841,WOODWARD,OK,"36° 16' 23.10"" N 99° 26' 46.40"" W",8/11/2018,Report Change
WLFK,7240,95.3,66658,GOUVERNEUR,NY,"44° 20' 22.20"" N 75° 23' 58.80"" W",8/11/2018,Report Change
KNWP,349F,90.1,81161,PORT ANGELES,WA,"48° 9' 2.30"" N 123° 40' 13.70"" W",11/14/2018,Report Change
WXLY,129A,102.5,34163,NORTH CHARLESTON,SC,"32° 49' 4.60"" N 79° 50' 8.30"" W",5/3/2020,Report Change
KTFS-FM,42C0,107.1,33541,TEXARKANA,AR,"33° 25' 45.40"" N 94° 7' 11.60"" W",8/11/2018,Report Change
KBRS,1470,106.9,190402,BELLE ROSE,LA,"30° 7' 35.70"" N 91° 12' 56.40"" W",8/11/2018,Report Change
WVLO,8D48,99.3,190376,CRIDERSVILLE,OH,"40° 39' 49.60"" N 84° 5' 9.10"" W",11/14/2018,Report Change
WOSL,7B7F,100.3,57353,NORWOOD,OH,"39° 7' 19.20"" N 84° 32' 51.80"" W",8/11/2018,Report Change
KRSP-FM,3EC7,103.5,27462,SALT LAKE CITY,UT,"40° 39' 33.80"" N 112° 12' 7.80"" W",8/11/2018,Report Change
WRNQ,12EE,92.1,17771,POUGHKEEPSIE,NY,"41° 43' 9.30"" N 73° 59' 45.50"" W",5/3/2020,Report Change
KJHM-FM1,2886,101.5,162588,COMMERCE CITY,CO,"39° 40' 31.20"" N 104° 52' 24.10"" W",8/11/2018,Report Change
KJCF,27FD,89.3,106475,ASOTIN,WA,"46° 19' 55.50"" N 117° 2' 37.50"" W",11/14/2018,Report Change
WPRB,7DFF,103.3,53567,PRINCETON,NJ,"40° 16' 58.40"" N 74° 41' 9.60"" W",8/11/2018,Report Change
KMXJ-FM,320F,94.1,31463,AMARILLO,TX,"35° 20' 33.10"" N 101° 49' 22.60"" W",8/11/2018,Report Change
WGVU-FM,66B6,88.5,4174,ALLENDALE,MI,"43° 3' 24.10"" N 85° 57' 37.20"" W",11/14/2018,Report Change
KYYZ,51E9,96.1,10510,WILLISTON,ND,"48° 2' 52.10"" N 103° 59' 2.80"" W",8/11/2018,Report Change
WBUJ-LP,595D,99.5,192433,MIAMI SHORES,FL,"25° 52' 44.80"" N 80° 11' 50.50"" W",10/31/2018,Report Change
KBDL-LP,12FD,107.9,131677,CARBONDALE,CO,"39° 23' 26.90"" N 107° 12' 29.10"" W",10/31/2018,Report Change
KLUB,2F15,106.9,68301,BLOOMINGTON,TX,"28° 42' 25.00"" N 96° 50' 6.90"" W",8/11/2018,Report Change
WJUX,6E8B,99.7,43653,SOUTH FALLSBURG,NY,"41° 48' 4.20"" N 74° 47' 3.50"" W",11/14/2018,Report Change
WYXB,965F,105.7,51432,INDIANAPOLIS,IN,"39° 46' 3.20"" N 86° 0' 11.90"" W",8/11/2018,Report Change
WSPP-LP,85C5,93.5,135680,HOPKINSVILLE,KY,"36° 52' 15.20"" N 87° 30' 43.00"" W",10/31/2018,Report Change
WRGZ,8241,96.7,49304,ROGERS CITY,MI,"45° 21' 2.00"" N 83° 46' 59.00"" W",8/11/2018,Report Change
KCGQ-FM,15F4,99.3,64621,GORDONVILLE,MO,"37° 21' 34.20"" N 89° 37' 16.30"" W",8/11/2018,Report Change
WBRQ,5916,91.9,90858,LA GRANGE,GA,"33° 0' 48.40"" N 85° 2' 57.80"" W",11/14/2018,Report Change
WVNP-FM1,8D7D,89.9,161955,WHEELING,WV,"40° 3' 41.30"" N 80° 45' 7.30"" W",8/11/2018,Report Change
KMZZ-FM1,3253,106.9,199153,BISHOP,TX,"27° 39' 34.10"" N 97° 34' 13.00"" W",8/11/2018,Report Change
KHCR,22C1,99.5,77277,BISMARCK,MO,"37° 38' 52.20"" N 90° 37' 33.40"" W",8/11/2018,Report Change
WHVK,6950,103.5,170944,NEW HOPE,AL,"34° 38' 11.30"" N 86° 30' 42.00"" W",11/14/2018,Report Change
WIMT,1B13,102.1,37497,LIMA,OH,"40° 38' 3.20"" N 84° 12' 28.80"" W",5/3/2020,Report Change
KKTC,2C58,99.9,43767,ANGEL FIRE,NM,"36° 33' 30.10"" N 105° 11' 40.00"" W",8/11/2018,Report Change
KZOK-FM,137A,102.5,20357,SEATTLE,WA,"47° 30' 16.40"" N 121° 58' 8.40"" W",5/3/2020,Report Change
KPLM,38C6,106.1,54360,PALM SPRINGS,CA,"33° 52' 14.10"" N 116° 13' 42.00"" W",8/11/2018,Report Change
WRAL,8197,101.5,73920,RALEIGH,NC,"35° 40' 35.60"" N 78° 32' 7.00"" W",8/11/2018,Report Change
WVMG-LP,8D5A,101.1,195423,CHATTANOOGA,TN,"35° 0' 35.20"" N 85° 20' 36.80"" W",10/31/2018,Report Change
KVLT,48A5,88.5,86326,TEMPLE,TX,"30° 59' 8.70"" N 97° 37' 57.00"" W",11/14/2018,Report Change
KWJK,4B0C,93.1,86486,BOONVILLE,MO,"38° 56' 31.10"" N 92° 34' 32.70"" W",8/11/2018,Report Change
