Call Sign,Active PI Code,Frequency,Facility ID,City of License,State,Location,Date Allocated,Edit
WMTK,7650,106.3,72212,LITTLETON,NH,"44° 21' 14.20"" N 71° 44' 21.30"" W",8/11/2018,Report Change
KCON,16C1,99.3,77279,ATKINS,AR,"35° 14' 41.30"" N 92° 52' 51.60"" W",8/11/2018,Report Change
WYJJ,94FB,97.7,54899,TRENTON,TN,"35° 38' 49.30"" N 88° 50' 0.20"" W",8/11/2018,Report Change
KEWU-FM,1CE0,89.5,18391,CHENEY,WA,"47° 34' 42.60"" N 117° 17' 53.70"" W",11/14/2018,Report Change
KXEI,4D2C,95.1,27117,HAVRE,MT,"48° 10' 41.90"" N 109° 41' 23.70"" W",11/14/2018,Report Change
WQZK-FM,817C,94.1,62339,KEYSER,WV,"39° 25' 7.30"" N 78° 57' 14.10"" W",8/11/2018,Report Change
KEZZ,1D33,94.1,165959,PHIPPSBURG,CO,"40° 22' 2.90"" N 106° 41' 30.10"" W",8/11/2018,Report Change
WNNK-FM,7858,104.1,32945,HARRISBURG,PA,"40° 18' 59.30"" N 76° 57' 2.90"" W",8/11/2018,Report Change
KHPR,2413,88.1,26446,HONOLULU,HI,"21° 20' 0.50"" N 157° 48' 53.10"" W",11/14/2018,Report Change
WGTY,6686,107.7,67131,GETTYSBURG,PA,"39° 51' 23.30"" N 76° 56' 55.90"" W",8/11/2018,Report Change
WAEV,117D,97.3,50403,SAVANNAH,GA,"32° 2' 45.70"" N 81° 20' 26.40"" W",5/3/2020,Report Change
KCVG,1770,89.9,78448,HASTINGS,NE,"40° 47' 11.00"" N 98° 22' 1.20"" W",11/14/2018,Report Change
WIHB-FM,6A7F,96.5,29128,GRAY,GA,"32° 58' 31.50"" N 83° 47' 58.70"" W",8/11/2018,Report Change
WMFC,74DC,99.3,43534,MONROEVILLE,AL,"31° 30' 51.60"" N 87° 17' 54.90"" W",8/11/2018,Report Change
KSTQ,4186,93.5,183382,STUART,OK,"34° 54' 57.30"" N 96° 8' 11.00"" W",8/11/2018,Report Change
WELS-FM,A668,102.9,20409,KINSTON,NC,"35° 17' 3.50"" N 77° 39' 51.90"" W",8/11/2018,Report Change
WKWK-FM,1156,97.3,73193,WHEELING,WV,"40° 5' 49.20"" N 80° 42' 5.20"" W",5/3/2020,Report Change
WRDU,13AE,100.7,74125,WAKE FOREST,NC,"35° 49' 53.60"" N 78° 8' 49.00"" W",5/3/2020,Report Change
KPSA-FM,3970,97.9,29027,LORDSBURG,NM,"32° 20' 57.20"" N 108° 42' 20.10"" W",8/11/2018,Report Change
KOTM-FM,36F2,97.7,21916,OTTUMWA,IA,"41° 1' 28.00"" N 92° 28' 56.70"" W",8/11/2018,Report Change
KRKR,3DF9,95.1,54707,WAVERLY,NE,"40° 58' 48.00"" N 96° 41' 47.10"" W",11/14/2018,Report Change
WZKX,97C7,107.9,17477,BAY ST. LOUIS,MS,"30° 45' 5.70"" N 89° 3' 24.20"" W",8/11/2018,Report Change
KARW,11D0,97.9,15197,SALINAS,CA,"36° 33' 8.70"" N 121° 47' 21.00"" W",8/11/2018,Report Change
WJZB,6EF7,88.7,78453,STARKVILLE,MS,"33° 27' 47.40"" N 88° 49' 1.20"" W",11/14/2018,Report Change
WSSL-FM,160F,100.5,59819,GRAY COURT,SC,"34° 34' 18.40"" N 82° 6' 43.40"" W",5/3/2020,Report Change
KCYE,17BC,102.7,57281,BOULDER CITY,NV,"35° 56' 45.90"" N 115° 2' 37.00"" W",8/11/2018,Report Change
WRXT,83F5,90.3,70358,ROANOKE,VA,"37° 23' 9.40"" N 79° 40' 9.10"" W",11/14/2018,Report Change
WBYP,59CB,107.1,28117,BELZONI,MS,"33° 3' 4.50"" N 90° 37' 51.30"" W",8/11/2018,Report Change
WWMP,A907,103.3,20592,WATERBURY,VT,"44° 21' 52.10"" N 72° 55' 51.40"" W",8/11/2018,Report Change
WCFA-LP,5A72,101.5,134095,CAPE MAY,NJ,"38° 58' 27.40"" N 74° 50' 20.60"" W",10/31/2018,Report Change
WAJF-LP,5597,107.9,193478,DECATUR,AL,"34° 30' 43.30"" N 86° 50' 55.00"" W",10/31/2018,Report Change
KOZQ-FM,3792,102.3,53876,WAYNESVILLE,MO,"37° 49' 9.10"" N 92° 9' 6.60"" W",8/11/2018,Report Change
KYMV-FM2,A5AD,100.7,166359,SALT LAKE CITY,UT,"40° 48' 28.80"" N 111° 53' 25.80"" W",8/11/2018,Report Change
WVIG,8CF2,95.9,66296,SEELYVILLE,IN,"39° 34' 29.10"" N 87° 24' 6.10"" W",8/11/2018,Report Change
WETS-FM,6138,89.5,18253,JOHNSON CITY,TN,"36° 26' 2.30"" N 82° 8' 7.40"" W",11/14/2018,Report Change
WDCC,5CCA,90.5,9841,SANFORD,NC,"35° 28' 23.20"" N 79° 8' 31.00"" W",11/14/2018,Report Change
WRSN,836D,88.1,176028,LEBANON,TN,"36° 17' 36.50"" N 86° 15' 27.00"" W",11/14/2018,Report Change
WMJS-LP,7554,102.1,123655,PRINCE FREDERICK,MD,"38° 32' 13.40"" N 76° 35' 12.80"" W",10/31/2018,Report Change
WCML-FM,5B33,91.7,9907,ALPENA,MI,"45° 8' 17.30"" N 84° 9' 43.60"" W",11/14/2018,Report Change
KAQF,11A5,91.1,76096,CLOVIS,NM,"34° 26' 20.10"" N 103° 12' 39.90"" W",11/14/2018,Report Change
KHST,2463,101.7,34541,LAMAR,MO,"37° 25' 27.20"" N 94° 16' 11.80"" W",8/11/2018,Report Change
KTIM,4308,89.1,172596,ELLINGER,TX,"29° 52' 43.80"" N 96° 52' 45.90"" W",11/14/2018,Report Change
WVNL,8D79,91.7,92248,VANDALIA,IL,"38° 56' 42.20"" N 89° 6' 10.20"" W",11/14/2018,Report Change
WLJR,72AF,88.5,6804,BIRMINGHAM,AL,"33° 23' 51.40"" N 86° 39' 41.00"" W",11/14/2018,Report Change
WVNU,8D82,97.5,61331,GREENFIELD,OH,"39° 24' 26.80"" N 83° 21' 13.70"" W",8/11/2018,Report Change
KWND,4B6D,88.3,51636,SPRINGFIELD,MO,"37° 10' 30.20"" N 93° 2' 35.60"" W",11/14/2018,Report Change
WLUM-FM,73C8,102.1,63595,MILWAUKEE,WI,"43° 6' 42.00"" N 87° 55' 50.30"" W",8/11/2018,Report Change
KVIX,485B,89.3,91468,PORT ANGELES,WA,"48° 9' 2.30"" N 123° 40' 13.70"" W",11/14/2018,Report Change
KMSW,319A,92.7,12439,THE DALLES,OR,"45° 38' 57.40"" N 121° 16' 29.20"" W",8/11/2018,Report Change
WNCC,7732,104.1,14551,FRANKLIN,NC,"35° 19' 38.30"" N 83° 20' 8.50"" W",8/11/2018,Report Change
WACF-LP,54E1,98.1,195317,BROOKFIELD,MA,"42° 12' 54.30"" N 72° 5' 58.20"" W",10/31/2018,Report Change
KFLI,1E5A,104.7,88063,DES ARC,AR,"35° 0' 23.30"" N 91° 40' 20.50"" W",8/11/2018,Report Change
WCVQ,5C22,107.9,61253,FORT CAMPBELL,KY,"36° 32' 26.20"" N 87° 39' 41.10"" W",8/11/2018,Report Change
WCRM-LP,5BB6,102.1,132329,COLUMBUS,OH,"40° 3' 37.00"" N 82° 58' 45.20"" W",10/31/2018,Report Change
WCLV,5B23,104.9,70109,LORAIN,OH,"41° 28' 32.20"" N 81° 59' 23.50"" W",11/14/2018,Report Change
KVWE,49B4,102.9,39892,AMARILLO,TX,"35° 15' 41.20"" N 101° 52' 53.70"" W",8/21/2019,Report Change
WYFC,948C,95.3,5153,CLINTON,TN,"36° 4' 18.30"" N 84° 1' 18.70"" W",11/14/2018,Report Change
KBVB,14C7,95.1,37001,BARNESVILLE,MN,"46° 49' 8.90"" N 96° 45' 57.30"" W",8/11/2018,Report Change
WHBZ,6757,106.5,41614,SHEBOYGAN FALLS,WI,"43° 43' 15.90"" N 87° 44' 3.30"" W",8/11/2018,Report Change
WNYU-FM,7980,89.1,48695,NEW YORK,NY,"40° 51' 26.30"" N 73° 54' 46.40"" W",11/14/2018,Report Change
WSWR,867D,100.1,66247,SHELBY,OH,"40° 56' 42.20"" N 82° 39' 41.60"" W",8/11/2018,Report Change
KDON-FM,1965,102.5,26930,SALINAS,CA,"36° 45' 22.90"" N 121° 30' 8.80"" W",5/3/2020,Report Change
KDUT-FM2,1A07,102.3,122078,SALT LAKE CITY,UT,"40° 48' 28.80"" N 111° 53' 25.80"" W",8/11/2018,Report Change
WIFM-FM,6A56,100.9,20411,ELKIN,NC,"36° 11' 50.50"" N 80° 50' 12.30"" W",8/11/2018,Report Change
WDUZ-FM,5EB5,107.5,6861,BRILLION,WI,"44° 21' 32.00"" N 87° 59' 7.40"" W",8/11/2018,Report Change
KSJM,A47E,89.1,176979,ST. JAMES,MN,"43° 58' 1.80"" N 94° 39' 17.90"" W",11/14/2018,Report Change
WJHW,6D38,89.5,173612,MAYODAN,NC,"36° 30' 48.60"" N 79° 55' 27.70"" W",11/14/2018,Report Change
WVZA,8EA6,92.7,124,HERRIN,IL,"37° 46' 28.20"" N 89° 5' 50.30"" W",8/11/2018,Report Change
WTTZ-LP,88DB,93.5,193908,BALTIMORE,MD,"39° 20' 10.40"" N 76° 38' 57.90"" W",10/31/2018,Report Change
KZMC,533E,102.1,166012,MCCOOK,NE,"40° 11' 27.00"" N 100° 48' 30.60"" W",8/11/2018,Report Change
KIQX,26D7,101.3,22174,DURANGO,CO,"37° 15' 44.00"" N 107° 54' 10.20"" W",8/11/2018,Report Change
KKRI,2C2A,88.1,88401,POCOLA,OK,"35° 13' 30.30"" N 94° 18' 4.80"" W",11/14/2018,Report Change
KAIQ,A1E0,95.5,111,WOLFFORTH,TX,"33° 31' 3.30"" N 101° 51' 25.60"" W",8/11/2018,Report Change
WYBL,942D,98.3,87818,ASHTABULA,OH,"41° 51' 14.00"" N 80° 41' 20.00"" W",8/11/2018,Report Change
KMNE-FM,3106,90.3,47984,BASSETT,NE,"42° 20' 5.00"" N 99° 29' 3.40"" W",11/14/2018,Report Change
KWBL,1A3D,106.7,29739,DENVER,CO,"39° 43' 58.00"" N 105° 14' 10.00"" W",5/3/2020,Report Change
WJEF,6CD9,91.9,36228,LAFAYETTE,IN,"40° 23' 52.10"" N 86° 52' 26.00"" W",11/14/2018,Report Change
KTYD,449F,99.9,14528,SANTA BARBARA,CA,"34° 28' 14.90"" N 119° 40' 36.40"" W",8/11/2018,Report Change
WOCQ,79E4,103.9,47107,BERLIN,MD,"38° 22' 58.40"" N 75° 18' 56.70"" W",8/11/2018,Report Change
WLFR,7247,91.7,63469,POMONA,NJ,"39° 28' 34.70"" N 74° 32' 18.90"" W",11/14/2018,Report Change
WUBZ-LP,89AB,100.7,196662,TUSKEGEE,AL,"32° 24' 55.50"" N 85° 41' 30.10"" W",10/31/2018,Report Change
KOHS,35C0,91.7,1169,OREM,UT,"40° 17' 59.80"" N 111° 38' 40.70"" W",11/14/2018,Report Change
WHFM,67B2,95.3,72176,SOUTHAMPTON,NY,"40° 56' 5.30"" N 72° 23' 13.30"" W",8/11/2018,Report Change
KJJY,28C6,92.5,22882,WEST DES MOINES,IA,"41° 39' 53.00"" N 93° 45' 24.80"" W",8/11/2018,Report Change
KANX,1169,91.1,1710,SHERIDAN,AR,"34° 17' 26.30"" N 92° 29' 36.60"" W",11/14/2018,Report Change
WKCC,6F46,90.5,20810,COLUMBUS,GA,"32° 25' 58.50"" N 84° 57' 1.80"" W",12/12/2019,Report Change
WMMY,75A8,106.1,91,JEFFERSON,NC,"36° 19' 53.40"" N 81° 35' 16.30"" W",8/11/2018,Report Change
WDEF-FM,5D01,92.3,57827,CHATTANOOGA,TN,"35° 8' 6.30"" N 85° 19' 24.90"" W",8/11/2018,Report Change
KWTU,4C1A,88.7,81517,TULSA,OK,"36° 1' 15.40"" N 95° 40' 32.90"" W",11/14/2018,Report Change
WTKL,87E3,91.1,69407,NORTH DARTMOUTH,MA,"41° 37' 43.40"" N 71° 0' 22.10"" W",11/14/2018,Report Change
KPPD,3925,91.7,165891,DEVILS LAKE,ND,"48° 3' 47.80"" N 99° 20' 10.20"" W",11/14/2018,Report Change
WBKY,5868,95.9,39625,PORTAGE,WI,"42° 51' 15.00"" N 89° 17' 41.40"" W",8/11/2018,Report Change
KSLE,A4AA,104.7,77278,WEWOKA,OK,"35° 5' 31.30"" N 96° 32' 30.00"" W",8/11/2018,Report Change
KLRX,2EDD,97.3,4933,LEE'S SUMMIT,MO,"39° 5' 26.00"" N 94° 28' 18.80"" W",11/14/2018,Report Change
WAWJ,56ED,90.1,84755,MARION,IL,"37° 51' 23.20"" N 89° 8' 22.30"" W",11/14/2018,Report Change
KHMX,23CB,96.5,47749,HOUSTON,TX,"29° 34' 34.80"" N 95° 30' 36.80"" W",8/11/2018,Report Change
WNCS,7742,104.7,43655,MONTPELIER,VT,"44° 25' 14.10"" N 72° 49' 40.40"" W",8/11/2018,Report Change
KZYY-LP,548C,93.7,194279,TYLER,TX,"32° 22' 58.50"" N 95° 17' 1.60"" W",10/31/2018,Report Change
KFBT,1D61,103.7,48776,HANFORD,CA,"36° 33' 11.80"" N 119° 45' 13.50"" W",5/3/2020,Report Change
KGHI,A296,91.1,177202,WESTPORT,WA,"46° 55' 10.30"" N 123° 57' 18.60"" W",11/14/2018,Report Change
WWYY,9148,107.1,54689,BELVIDERE,NJ,"40° 56' 53.30"" N 75° 9' 36.60"" W",8/11/2018,Report Change
KRCF,3D1D,96.7,190403,LEAD,SD,"44° 19' 34.90"" N 103° 50' 7.70"" W",8/11/2018,Report Change
KNRG,3414,92.3,15113,NEW ULM,TX,"30° 0' 6.80"" N 96° 49' 21.90"" W",8/11/2018,Report Change
KILI,2646,90.1,36443,PORCUPINE,SD,"43° 10' 47.90"" N 102° 19' 26.50"" W",11/14/2018,Report Change
KUEL-LP,4543,97.1,194148,KENSETT,IA,"43° 21' 35.80"" N 93° 19' 26.70"" W",10/31/2018,Report Change
WBZZ,59EF,100.7,20351,NEW KENSINGTON,PA,"40° 28' 20.20"" N 79° 59' 40.20"" W",8/11/2018,Report Change
WCKY-FM,1B0C,103.7,70526,PEMBERVILLE,OH,"41° 8' 20.20"" N 83° 14' 44.70"" W",5/3/2020,Report Change
KOYM-LP,3774,99.7,195427,HOUSTON,TX,"29° 48' 30.50"" N 95° 31' 11.70"" W",10/31/2018,Report Change
WHRQ,68EE,88.1,172338,SANDUSKY,OH,"41° 22' 38.00"" N 82° 48' 52.00"" W",11/14/2018,Report Change
KBDE,12F6,89.9,85761,TEMPLE,TX,"31° 16' 5.60"" N 97° 21' 35.00"" W",11/14/2018,Report Change
WGGC,651E,95.1,27007,BOWLING GREEN,KY,"36° 54' 43.20"" N 86° 11' 21.00"" W",8/11/2018,Report Change
WOGL,7A47,98.1,9622,PHILADELPHIA,PA,"40° 2' 30.00"" N 75° 14' 10.00"" W",8/11/2018,Report Change
WRFI,8216,91.9,173670,WATKINS GLEN,NY,"42° 23' 20.20"" N 76° 53' 25.80"" W",11/14/2018,Report Change
KELB-LP,1BAF,100.5,123546,LAKE CHARLES,LA,"30° 8' 42.70"" N 93° 15' 12.50"" W",10/31/2018,Report Change
WSLY,8566,104.9,24820,YORK,AL,"32° 16' 54.50"" N 88° 15' 23.00"" W",8/11/2018,Report Change
KMGR,A35D,99.1,72769,NEPHI,UT,"39° 43' 58.00"" N 111° 56' 37.40"" W",8/11/2018,Report Change
WRSR,8371,103.9,41681,OWOSSO,MI,"42° 59' 45.10"" N 83° 59' 33.90"" W",8/11/2018,Report Change
WLSN,7395,89.7,92302,GRAND MARAIS,MN,"47° 46' 3.60"" N 90° 20' 47.40"" W",11/14/2018,Report Change
KOAB-FM,34F9,91.3,50609,BEND,OR,"44° 4' 40.40"" N 121° 20' 1.10"" W",11/14/2018,Report Change
KTZU,44CA,94.9,162322,VELVA,ND,"48° 3' 4.00"" N 101° 20' 24.60"" W",8/11/2018,Report Change
WWPV-LP,A95B,92.5,196089,COLCHESTER,VT,"44° 29' 38.10"" N 73° 9' 49.40"" W",10/31/2018,Report Change
KIFT-FM7,25B5,106.3,170168,FRASER,CO,"39° 56' 48.90"" N 105° 48' 59.00"" W",8/11/2018,Report Change
KULM-FM,45FA,98.3,70706,COLUMBUS,TX,"29° 42' 3.80"" N 96° 34' 24.90"" W",8/11/2018,Report Change
WCHK-FM,5AB0,101.3,58763,MILFORD,DE,"38° 51' 22.10"" N 75° 28' 57.80"" W",11/4/2019,Report Change
KFRC-FM1,1EF0,106.9,178412,PLEASANTON,CA,"37° 39' 39.80"" N 121° 50' 15.80"" W",8/11/2018,Report Change
